preML,preDV,preAP,postML,postDV,postAP,spikeWidth,spikeThresh,spikeAmp,adaptIndex,burstIndex,Rm,Cm,maxFireRate,sagRatio,outputGain,Iholding,isConn,amp,tauRise,tauDecay,APbregma,WCboth,WCtimes,WCrate,dML,dDV,dAP,dML2,dDV2,dAP2,dEuclid,dHoriz,is_mPFCBLA2mPFCBLA,is_mPFCBLA2nonmPFCBLA,is_random2random
525.160512683376,1943.6516280549,38.6902540644281,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.054518469,0.206477824,0.245833569,146.472765330025,-39.3914960833335,-29.5247178202341,21454.2709834245,1551.68996368328,871.70896236445,154.52401078626,151.677160268472,1,0,0
480.474768533288,2172.78145442803,61.2210869690175,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.047463584,0.204852572,0.184957762,101.787021179937,189.738330289797,-6.99388491564466,10360.5976806849,36000.6339811599,48.9144262132819,215.430142013735,215.316584734769,1,0,0
433.926513704543,2044.44966330041,69.4475624509125,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.027925742,0.260082629,0.054151289,55.2387663511917,61.4065391621737,1.23259056625037,3051.32130800155,3770.76305187557,1.5192795040094,82.6051066180604,82.5959100674913,1,0,0
361.618370136579,1934.0116014239,86.9873895310379,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.080260101,0.450212173,0.056278339,-17.0693772167721,-49.0315227143431,18.7724176463757,291.363638568459,2404.09021968714,352.403664289957,55.2074045988901,51.9177605281237,1,0,0
322.92045702266,1867.24888023625,96.2063501045477,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.134511899,0.401628774,0.125988649,-55.7672903306915,-115.794243901988,27.9913782198855,3109.99067082764,13408.3069208331,783.51725464868,131.536363209226,128.523529330861,1,0,0
358.054454794744,1925.11500052844,99.0036207565671,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.341588573,0.398537791,0.443514432,-20.6332925586077,-57.9281236097995,30.788648871905,425.732761809096,3355.66750495221,947.940899357455,68.7702055116804,61.4930912116256,1,0,0
605.016126173768,2055.03978153361,41.994034429211,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.134710464,0.231295449,0.385124402,226.328378820417,71.9966573953693,-26.2209374554512,51224.5350594781,5183.51867610619,687.537561042684,238.946837804201,237.503797307715,1,0,0
453.529909181134,1931.36991953494,87.0800853805177,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.100979266,0.341615815,0.119852132,74.8421618277829,-51.6732046032973,18.8651134958555,5601.34918705604,2670.12007397423,355.892507211509,92.8835925674808,90.947618226264,1,0,0
368.733304092325,2045.49433336089,106.233194572365,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.027715292,0.2955844,0.051052363,-9.95444326102648,62.4512092226541,38.0182226877033,99.0909406369956,3900.15353337172,1445.3852563318,73.7877342811156,63.2395799638859,1,0,0
382.296808842783,2131.67184877392,106.200702650983,378.687747353351,1983.04312413824,68.2149718846622,1.2004,-39.1229811656599,78.0023765659321,1.7799511002445,3.02962962962963,269.183289268446,63.2020004852579,40,0.075192586872273,0.1814225114685,NaN,0,0,NaN,NaN,1.4,0.022338512,0.33456821,0.029177862,3.60906148943184,148.628724635681,37.9857307663206,13.0253248345,22090.4977868292,1442.91574185139,153.448489251329,148.672536507802,1,0,0
